company,station,address,Latitude,Longitude
財團法人台北市勝利社會福利事業基金會,勝利中和橋和路加油站,新北市中和區橋和路81號,25.005498,121.4892586
台灣中油股份有限公司,五股加油站,新北市五股區中興路4段21號,25.082542,121.439
指南資產管理股份有限公司,指南成泰加油站,新北市五股區成泰路1段170號,25.0777557,121.4355962
山隆通運股份有限公司,福泰加油站,新北市五股區成泰路1段76號,25.0961626,121.4488503
聯華能源股份有限公司,聯華五股,新北市五股區成泰路2段250號,25.0871209,121.4404844
上群加油站實業有限公司,上群加油站,新北市五股區新五路2段126號   ,25.0767567,121.4379668
昇易加油站實業有限公司,昇易加油站,新北市五股區新五路2段129號,25.0777199,121.4375158
信誠加油站實業有限公司,信誠加油站,新北市五股區新五路2段258號,25.0815226,121.4407614
車容坊股份有限公司,車容坊加油站,新北市五股區新五路2段279號,25.0862241,121.4425378
冠華企業股份有限公司,永和加油站,新北市永和區中和路573號,25.0036035,121.5115294
台灣卡特爾石油有限公司,挑戰者永和加油站,新北市永和區中和路601號,25.0043439,121.5123313
台灣中油股份有限公司,永和永利路加油站,新北市永和區永利路69號,25.0049763,121.5196697
中華加油站股份有限公司,石門加油站,新北市石門區中央路1-15號,25.2915676,121.5655949
泰和加油站實業有限公司,石碇加油站,新北市石碇區文山路1段8號,25.0098662,121.6452827
建德加油站實業股份有限公司,建德加油站,新北市石碇區文山路1段9號,25.0098662,121.6452827
台亞石油股份有限公司,台亞汐止好市多,新北市汐止區大同路1段154號,25.0565744,121.632098
四海加油站有限公司,四海加油站,新北市汐止區大同路1段1號,25.0565744,121.632098
台灣中油股份有限公司,汐止加油站,新北市汐止區大同路1段353號,25.0565744,121.632098
台亞石油股份有限公司,台亞汐止加油站,新北市汐止區大同路2段37號,25.0630685,121.6478639
台灣中油股份有限公司,保長坑加油站,新北市汐止區大同路3段186-1號,25.074412,121.674181
全國加油站股份有限公司,全國厚生加油站,新北市汐止區大同路3段279號,25.0750678,121.6744578
甘霖國際物流股份有限公司,平安加油站,新北市汐止區大同路3段575號,25.0728919,121.6830796
勁安實業股份有限公司,伯爵加油站,新北市汐止區汐萬路1段39號,25.091781,121.642862
勁昌實業有限公司,明湖加油站,新北市汐止區康寧街536號,25.068863,121.634138
全國加油站股份有限公司,全國東湖加油站,新北市汐止區康寧街5號,25.0675498,121.6180549
東湖加油站股份有限公司,東湖加油站,新北市汐止區康寧街6號,25.0673217,121.6177247
台亞石油股份有限公司,台亞新台五一站,新北市汐止區新台五路1段115號,25.0564206,121.635567
北基國際股份有限公司,北基汐科加油站,新北市汐止區新台五路1段132號,25.0564206,121.635567
淳寶加油站有限公司,淳寶加油站,新北市汐止區新台五路2段236號,25.0662456,121.670685
新台加油站股份有限公司,汐平加油站,新北市汐止區新台五路2段652號,25.0683785,121.6835098
台灣中油股份有限公司,坪林加油站,新北市坪林區北宜路八段61號,24.9356736,121.7049834
光仁加油站有限公司,光仁加油站,新北市板橋區三民路1段106號,25.0200984,121.4790563
正隆加油站有限公司,正隆加油站,新北市板橋區三民路2段257號,25.0115625,121.479036
台灣中油股份有限公司,埔墘加油站,新北市板橋區中山路2段320號,25.0193864,121.4806827
台亞石油股份有限公司,台亞板橋文化路,新北市板橋區文化路2段262號,25.028544,121.4714923
全國加油站股份有限公司,全國板橋四川路加油站,新北市板橋區四川路2段橋頭6號,24.9950533,121.453337
台亞石油股份有限公司,台亞板橋民生加油站,新北市板橋區民生路2段19號,25.0223463,121.4691639
台灣中油股份有限公司,板橋民族路加油站,新北市板橋區民族路90號,25.0089616,121.4640005
台亞石油股份有限公司,台亞板橋信義路加油站,新北市板橋區信義路267號,24.9903256,121.4606749
北基國際股份有限公司,新海加油站,新北市板橋區新海路137號,25.0233453,121.4602482
台亞石油股份有限公司,台亞板橋浮洲橋,新北市板橋區篤行路1段33號,24.9921129,121.431379
