dis,sta,add,das,state,cha,fee,way,ope,sty,no,Latitude,Longitude
瑞芳區,欽賢國中(九份校區),新北市瑞芳區崙項路3-1號,國中小學,良好,否,不收費,無,否,無,4,25.103052,121.822098
樹林區,山佳國小,新北市樹林區中山路三段5號,國中小學,良好,否,不收費,無,否,插頭式,6,24.9754914,121.4017467
三重區,興穀國小,新北市三重區五谷王北街46號,國中小學,良好,否,不收費,無,否,插頭式,6,25.0507706,121.4755661
板橋區,光仁高中,新北市板橋區中山路二段225巷18號,高中專科,良好,否,不收費,無,否,插頭式,2,25.0173067,121.4768154
板橋區,新埔國小,新北市板橋區陽明街206號,國中小學,良好,否,不收費,無,否,插頭式,4,25.0258792,121.462417
板橋區,海山國小,新北市板橋區漢生東路280號,國中小學,良好,否,不收費,無,否,插頭式,2,25.0094961,121.4708924
新莊區,福營國中,新北市新莊區富國路105號,國中小學,良好,否,不收費,無,否,插頭式,2,25.0253173,121.4226922
三重區,新北市立碧華國民中學,新北市三重區自強路五段66號,國中小學,良好,否,不收費,無,否,插頭式,4,25.082294,121.4950796
淡水區,捷運紅樹林站,新北市淡水區中正東路2段68號,捷運站,良好,否,不收費,無,是,插頭式,12,25.1547244,121.4589193
淡水區,捷運淡水站,新北市淡水區中正路1號,捷運站,良好,否,不收費,無,是,插頭式,12,25.1748783,121.4327391
五股區,新北市五股區成州國民小學,新北市五股區成泰路三段493號,國中小學,良好,否,不收費,無,是,插頭式,6,25.0997414,121.4506619
新莊區,機場捷運A3新北產業園區站,新北市新莊區五工路37號,捷運站,良好,否,不收費,無,是,插頭式,4,25.0617119,121.4588938
新莊區,機場捷運A4新莊副都心站,新北市新莊區新北大道四段188號,捷運站,良好,否,不收費,無,是,插頭式,4,25.0593624,121.4461393
泰山區,機場捷運A5泰山站,新北市泰山區新北大道四段431號,捷運站,良好,否,不收費,無,是,插頭式,4,25.0530918,121.4396809
泰山區,機場捷運A6泰山貴和站,新北市泰山區新北大道六段460號,捷運站,良好,否,不收費,無,是,插頭式,4,25.0331762,121.4226272
板橋區,太子學院區,新北市板橋區龍泉街130號1樓,社區大樓,良好,是,10元/次,一次10元,否,充電箱,2座3充,25.0240326,121.4570834
三峽區,大漢宮廷,新北市三峽區民生街19巷7弄47號,社區大樓,良好,否,不收費,無,否,插頭式,3,24.9353518,121.3777628
中和區,中和第一新城,新北市中和區圓通路240巷3弄1號,社區大樓,良好,否,不收費,無,否,插頭式,12,24.992346,121.494454
汐止區,康詩丹郡,新北市汐止區林森街73巷29號,社區大樓,良好,否,不收費,無,否,插頭式,16,25.0412415,121.6236787
淡水區,孟子社區,新北市淡水區北新路121號,社區大樓,良好,否,不收費,無,否,插頭式,4,25.1788338,121.448968
淡水區,淡江柏園二期AB區,新北市淡水區鄧公路29巷2號,社區大樓,良好,否,不收費,無,否,插頭式,24,25.1703638,121.4516997
新莊區,碧瑤皇家,新莊區民安西路173巷31號,社區大樓,良好,否,不收費,無,否,插頭式,2,25.0159789,121.4273486
蘆洲區,富貴榮邑,新北市蘆洲區民義街22巷5號,社區大樓,良好,否,不收費,無,否,充電座,8,25.0884449,121.4716209
新店區,信義金蘭社區,新北市新店區國校路6-1號,社區大樓,良好,否,不收費,無,否,插頭式,2,24.9562673,121.5377363
新莊區,中榮大樓,新北市新莊區中榮街49巷9號地下室,社區大樓,良好,否,不收費,無,否,插頭式,2,25.0526909,121.4494034
三重區,三輝首馥社區,新北市三重區重新路四段16~32號,社區大樓,良好,是,10元/次,,否,無,1,25.0575556,121.4886323
三峽區,上北大社區,新北市三峽區大觀路132~192號,社區大樓,良好,是,10元/次,,否,無,1,24.9475437,121.3732516
三峽區,大英博物館,新北市三峽區學成路93號,社區大樓,良好,是,10元/次,,否,無,1,24.9412319,121.3729763
中和區,大順名門社區,新北市中和區德光路125-151號,社區大樓,良好,是,10元/次,無,否,無,1,25.003019,121.467986
林口區,巴黎香榭,新北市林口區文化三路,社區大樓,良好,是,10元/次,,否,無,1,25.0731404,121.3659634
三峽區,四季會館,新北市三峽區大德路85號,社區大樓,良好,是,10元/次,,否,無,1,24.9432314,121.377011
板橋區,正隆廣場,新北市板橋市民生路一段5號,社區大樓,良好,是,10元/次,,否,無,1,25.0116737,121.4767922
蘆洲區,民權巨星,新北市蘆州區民權路134巷1號,社區大樓,良好,是,10元/次,,否,無,1,25.0891529,121.4732232
林口區,永翊花園,新北市林口區文化二路一段260巷,社區大樓,良好,是,10元/次,,否,無,1,25.0728967,121.371082
樹林區,名人皇邸社區,新北市樹林區保安街三段1巷,社區大樓,良好,是,10元/次,,否,無,1,25.0100261,121.4115233
三重區,合康達觀社區,新北市三重區仁義街323~345號,社區大樓,良好,是,10元/次,,否,充電箱,1,25.0845648,121.4953115
林口區,竹城松賀,新北市林口區源泉街,社區大樓,良好,是,10元/次,,否,無,1,25.0724249,121.3563855
蘆洲區,旺旺來,新北市蘆洲區九芎街90巷12號,社區大樓,良好,是,10元/次,,否,無,1,25.0803836,121.4656622
板橋區,昇陽府中棧,新北市板橋區縣民大道一段185號,社區大樓,良好,是,10元/次,計次收費,否,插頭式,1,25.0072567,121.4580411
汐止區,東方大鎮公寓大廈社區,新北市汐止區大同路一段286巷23號1樓,社區大樓,良好,是,10元/次,,否,無,1,25.0567221,121.635591
土城區,金雞報喜社區,新北市土城區學士路33巷23號,社區大樓,良好,是,10元/次,,否,插頭式,1,24.9822321,121.4537864
新莊區,帝后花園亞歷山大區社區,新北市新莊區立信三街12巷1號,社區大樓,良好,是,10元/次,,否,無,1,25.0508252,121.4441546
三峽區,皇翔峇里島南區,新北市三峽區大智路45~69(南區)號,社區大樓,良好,是,10元/次,,否,無,1,24.9365955,121.3606861
林口區,家天下社區,新北市林口區文化北路一段488-1號,社區大樓,良好,是,10元/次,,否,無,1,25.0775436,121.3662024
板橋區,家麒文化,新北市板橋區莊敬路61號,社區大樓,良好,是,10元/次,,否,無,1,25.0268087,121.4732031
板橋區,泰隆柏園社區,新北市永和區保順路51巷10號,社區大樓,良好,是,10元/次,,否,無,1,25.0101631,121.5027287
淡水區,海揚社區,新北市淡水區中正東路一段3巷14弄1號,社區大樓,良好,是,10元/次,小時收費,否,充電箱,1,25.1649511,121.451607
林口區,紐約上城社區,新北市林口區文化三路二段,社區大樓,良好,是,10元/次,,否,無,1,25.0845056,121.3776849
汐止區,高登屋社區,新北市汐止區民族三街,社區大樓,良好,是,10元/次,,否,無,1,25.0701991,121.629936
土城區,國美之星A館社區,新北市土城區延吉街383號,社區大樓,良好,是,10元/次,,否,無,1,24.9838979,121.4631394
三重區,博愛新城社區,新北市三重區頂崁街210巷12弄25號,社區大樓,良好,是,10元/次,,否,無,1,25.06709,121.476167
蘆洲區,喝采社區,新北市蘆洲區民生街65號1樓,社區大樓,良好,是,10元/次,,否,無,1,25.0787343,121.4742824
新店區,新陛潭社區,新北市新店區北宜路二段30巷,社區大樓,良好,是,10元/次,計次收費,否,插頭式,2,24.9510553,121.548139
三重區,葉隱集社區,新北市三重區三賢街101~103號,社區大樓,良好,是,10元/次,,否,無,1,25.0887645,121.4880219
林口區,遠雄大未來社區,新北市林口區文化二路一段575號,社區大樓,良好,是,10元/次,投幣,否,插頭式,1,25.0784835,121.3756477
三重區,臨江仙社區,新北市三重區集賢路15~25號,社區大樓,良好,是,10元/次,,否,無,1,25.0855688,121.4966823
板橋區,馥華大台北社區,新北市板橋區中山路二段403~411號,社區大樓,良好,是,10元/次,,否,無,1,25.0197261,121.4806086
新莊區,藝術國寶,新北市新莊區中平路287-303號,社區大樓,良好,是,10元/次,,否,無,,25.0506199,121.4446675
新莊區,歐洲之星公寓大廈,新北市新莊區中原路193號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,2,25.0542109,121.4515887
三重區,陸江社區,新北市三重區集賢路118號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,4,25.0896326,121.4910987
三峽區,北大MBA社區,新北市三峽區國際一街92號,社區大樓,良好,是,5元/小時,投幣式,否,充電箱,2,24.941582,121.37101
八里區,地中海大廈社區,新北市八里區龍米路一段442-468號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,5,25.134218,121.450913
中和區,富貴麗景社區,新北市中和區中正路167巷20~48號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,2,24.9925089,121.498362
板橋區,擎天大廈社區,新北市板橋區重慶路247號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,1,25.0004506,121.4636023
樹林區,麗寶國際館社區,新北市樹林區學成路541號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,2,24.9459204,121.3803773
永和區,台北菠爾社區,新北市永和區環河西路2段187-201號,社區大樓,良好,否,不收費,無,否,充電箱,1,25.0110238,121.5023755
永和區,芬第夏宮社區,新北市永和區永利路72巷2號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,3,25.0042301,121.5203169
板橋區,麗池花園廣場社區,新北市板橋區篤行路一段10-1號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,1,24.995569,121.431926
土城區,海山品園尊品區社區,新北市土城區中央路1段250巷7~15號,社區大樓,良好,否,不收費,無,否,插頭式,2,24.991566,121.448764
新莊區,現代巴黎社區,新北市新莊區新樹路621號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,1,25.0035998,121.4336336
新莊區,金莊悅泉社區,新北市新莊區福前街500號,社區大樓,良好,否,不收費,無,否,插頭式,3,25.060148,121.4625204
三峽區,中北大社區,新北市三峽區大德路467號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,2,24.9472052,121.3744784
汐止區,國家交響樂社區,新北市汐止區仁愛路151巷18號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,8,25.065004,121.6637299
新莊區,世界盃雪梨特區社區,新北市新莊區新樹路611號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,5,25.0039394,121.4344132
樹林區,遠雄大學哈佛社區,新北市樹林區學勤路360號,社區大樓,良好,否,不收費,無,否,插頭式,5,24.9474221,121.3802051
淡水區,天域社區公寓大廈,新北市淡水區新春里新民街300號,社區大樓,良好,是,,,否,無,1,25.1824638,121.4350868
新店區,達觀鎮A1社區,新北市新店區達觀路8巷2號,社區大樓,良好,是,10元/次,投幣式,否,充電箱,1,24.9432565,121.5047481
新莊區,仙境傳說社區,新北市新莊區青山路一段56號,社區大樓,良好,是,,,否,無,3,25.0280228,121.408413
林口區,遠雄未來城一期社區,新北市林口區文化三路1段378號,社區大樓,良好,是,20元/次,投幣式,否,充電座,4,25.0723196,121.3655764
三重區,羅浮花園皇家特區公寓大廈,新北市三重區碧華里14鄰五華街218號,社區大樓,良好,是,,,否,無,1,25.0869706,121.4878973
新莊區,鄉林淳風公寓大廈,新北市新莊區福基里1鄰福美街128巷12號,社區大樓,良好,是,,,否,充電箱,5,25.0579391,121.4612094
汐止區,東湖麗都社區,新北市汐止區 北山里 康寧街141巷46~60~1號,社區大樓,良好,是,,,否,無,1,25.068154,121.620685
土城區,永福社區公寓大廈,新北市土城區廣福里學府路一段99巷27號4樓,社區大樓,良好,是,,,否,無,6,24.9868169,121.4570451
淡水區,淡水情歌公寓大廈,新北市淡水區淡金路二段81號,社區大樓,良好,,,,否,無,,25.1822187,121.4506509
淡水區,淡水新橫濱社區,新北市淡水區新市一路3段10~40號,社區大樓,良好,,,,否,無,,25.1827717,121.4451533
汐止區,登峰天廈BC區公寓大廈,新北市汐止區大同路二段184巷2-16號,社區大樓,良好,是,,,否,無,2,25.0637333,121.6533091
林口區,遠雄U未來社區,新北市林口區文化三路二段16號2樓,社區大樓,良好,是,,,否,無,6,25.0780271,121.3739072
中和區,新歐洲社區,新北市中和區中興街216號1樓,社區大樓,良好,是,10元,投幣式,僅供社區,插頭式,2座2充,24.9901053,121.5002184
永和區,漢皇極品喬治五世公寓大廈,新北市永和區中正路465巷21-25號,社區大樓,良好,是,,,否,無,5,25.0057298,121.5161483
淡水區,世界之窗社區,新北市淡水區新春街1號,社區大樓,良好,否,不收費,,否,插頭式,1座1充,25.181336,121.435947
泰山區,台北京城,新北市泰山區仁義路139號1樓,社區大樓,良好,否,不收費,無,否,無,,25.0548634,121.4326059
新莊區,捷運好境社區,新北市新莊區中正路893巷108號,社區大樓,良好,是,10元/次,投幣式,否,充電座,1座1充,25.0204275,121.4147466
泰山區,稙村秀社區,新北市泰山區明志路2段136巷26號,社區大樓,良好,是,10元/次,投幣式,否,充電座,3,25.0519196,121.4262875
樹林區,心六藝社區,新北市樹林區南園里學成路712-798號,社區大樓,良好,是,小時計費,投幣式,否,充電座,5,24.9461787,121.3830112
新店區,臺灣通用器材公司,新北市新店區寶橋路233號,公司行號,良好,否,不收費,無,否,充電座,3,24.9802678,121.5498563
新莊區,優境環境科技,新北市新莊區五工三路70巷13號,公司行號,良好,否,不收費,無,否,插頭式,4,25.065327,121.45958
三重區,信鋒輪業有限公司,新北市三重區三民街136號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.065049,121.4828049
新莊區,向銓環保電動車,新北市新莊區中正路727號,機車經銷商,良好,否,不收費,,是,充電座,2個,25.028781,121.4228279
三重區,尚益機車行,新北市三重區三和路三段24號,機車經銷商,良好,是,50元/次,人工計費,是,插頭式,6,25.0703388,121.496628
三峽區,信寬有限公司,新北市三峽區復興路293號,機車經銷商,良好,是,充電度數計,其他,是,充電座,3,24.9387925,121.3659011
中和區,一俐機車有限公司,新北市中和區景平路670號,機車經銷商,良好,否,不收費,無,是,插頭式,10,25.0011001,121.4971513
林口區,吉全機車行,新北市林口區林口路285號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.0846683,121.3859438
板橋區,富搌企業有公司,新北市板橋區漢生東路340巷1號,機車經銷商,良好,否,不收費,無,是,插頭式,6,25.0073873,121.4717652
八里區,頂立車業行,新北市八里區龍米路二段192號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.1585234,121.4338659
土城區,全達機車行,新北市土城區忠義路53-1號,機車經銷商,良好,是,20元/次,人工計費,是,插頭式,6,24.9689042,121.4406519
永和區,昇鴻車業有限公司,新北市永和區秀朗路2段167號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.001672,121.52534
林口區,成龍車業行,新北市林口區粉寮路一段43號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.077498,121.3965103
板橋區,大忠車業行,新北市板橋區中正路250巷13號1F,機車經銷商,良好,否,不收費,無,是,插頭式,2,25.0194845,121.4561297
新莊區,寶祥機車行,新北市新莊區中港路394號,機車經銷商,良好,是,小時計費,人工計費,是,插頭式,2,25.0495804,121.452404
鶯歌區,同億機車行,新北市鶯歌區鶯桃路122號,機車經銷商,良好,是,10元/次,無,是,充電座,2,24.954615,121.3384249
新店區,全富車業有限公司,新店區北新路一段169號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9641135,121.5399227
樹林區,緯鴻機車有限公司,新北市樹林區保安二街102號,機車經銷商,良好,否,不收費,無,是,插頭式,4,24.9957413,121.4227806
三重區,宏大機車行,新北市三重區仁愛街640號,機車經銷商,良好,否,不收費,無,是,插頭式,6,25.0806217,121.4830238
土城區,力溢機車有限公司,新北市土城區中央路一段302號,機車經銷商,良好,否,不收費,無,是,插頭式,4,24.9820804,121.4431851
土城區,翰昌車料行,新北市土城區青雲路309號,機車經銷商,良好,否,不收費,無,是,插頭式,4,24.9791244,121.4591209
中和區,有盛機車有限公司,新北市中和區安樂路29號,機車經銷商,良好,否,不收費,無,是,插頭式,6,24.992447,121.511617
中和區,展宏車業行,新北市中和區德光路16號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.0045486,121.4711291
永和區,大鑫機車業有限公司,新北市永和區中正路40號,機車經銷商,良好,否,不收費,無,是,插頭式,4,24.9942595,121.5130574
永和區,富元機車有限公司,新北市永和區得和路30號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0000116,121.5159683
汐止區,周石田車業有限公司,新北市汐止區大同硌二段294號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.0664975,121.6553467
林口區,鴻輪車業行,新北市林口區中正路329號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,4,25.0776332,121.3883901
林口區,順展機車行,新北市林口區中正路491號,機車經銷商,良好,否,不收費,無,是,插頭式,6,25.0775579,121.3835289
林口區,國城車行,新北市林口區文化二路一段36號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,4,25.0676041,121.3650057
林口區,林口車業(自強店),新北市林口區自強三街3號,機車經銷商,良好,是,30元/次,人工收費,是,插頭式,4,25.0780844,121.3974079
林口區,隆興機車行,新北市林口區林口路265號,機車經銷商,良好,否,不收費,無,是,插頭式,4,25.0843351,121.3863042
板橋區,永川車業有限公司,新北市板橋區四川路二段245巷12號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9930861,121.4508837
